car,price,body,mileage,engV,engType,registration,year,model,drive
Audi,0,sedan,300,2.5,Diesel,no,2001,A8,front
BMW,29500,sedan,230,3,Diesel,yes,2011,530,rear
Audi,22500,vagon,175,2,Gas,yes,2010,A4 Allroad,full
BMW,16999,vagon,213,3,Diesel,yes,2007,530,full
Audi,22500,sedan,159,5.2,Petrol,yes,2008,S8,full
BMW,11900,sedan,160,2.5,Petrol,yes,2005,525,rear
Hyundai,10000,sedan,19,1.4,Petrol,yes,2011,Accent,front
BMW,6800,crossover,242,99.99,Diesel,no,2005,X3,
Audi,22000,crossover,152,4.2,Petrol,yes,2007,Q7,full
Hyundai,3950,crossover,220,2.9,Diesel,no,2002,Terracan,full
Hyundai,6300,sedan,1,1.4,Petrol,yes,2008,Accent,
BMW,13500,crossover,250,3,Diesel,no,2006,X5,full
BMW,3200,sedan,237,2.5,Petrol,yes,1990,525,rear
Hyundai,21900,crossover,71,2.2,Diesel,yes,2012,Santa FE,full
BMW,29900,crossover,182,3,Petrol,yes,2008,X6,full
Hyundai,5400,sedan,102,1.5,Diesel,yes,2008,Accent,front
BMW,8999,sedan,221,4.5,Petrol,yes,2002,745,rear
BMW,9400,sedan,221,4.4,Gas,yes,2004,745,rear
Audi,14200,vagon,200,2.7,Diesel,yes,2006,A6,front
BMW,51900,crossover,106,3,Diesel,yes,2012,X6,full
Audi,31500,sedan,140,2,Diesel,yes,2012,A6,front
Hyundai,14900,crossover,172,2.2,Diesel,yes,2007,Santa FE,full
BMW,6500,sedan,300,2.8,Gas,yes,1997,528,rear
BMW,18000,sedan,245,2.5,Petrol,yes,2007,523,rear
Audi,12600,sedan,294,3,Gas,yes,2004,A8,front
Audi,3150,vagon,310,2.5,Diesel,no,1999,A6,front
Hyundai,9999,sedan,42,1.4,Petrol,yes,2011,Accent,front
BMW,86999,crossover,0,3,Diesel,yes,2016,X6,full
BMW,62000,crossover,1,2,Diesel,yes,2016,X5,full
BMW,8200,sedan,250,4.4,Petrol,yes,1997,540,
BMW,2900,sedan,225,2.5,Petrol,no,1997,523,rear
BMW,67500,crossover,1,2,Diesel,yes,2016,X5,full
BMW,2800,sedan,296,3,Diesel,no,2001,730,rear
Audi,14900,crossover,183,3.6,Petrol,no,2007,Q7,full
BMW,26900,sedan,158,5,Petrol,yes,2007,M5,rear
BMW,8900,sedan,256,2.2,Petrol,yes,2002,5 Series,
BMW,4999,sedan,256,2.5,Diesel,no,2001,525,rear
Hyundai,7000,sedan,100,1.6,Petrol,yes,2008,Accent,front
BMW,16700,sedan,150,2,Diesel,yes,2008,520,rear
BMW,81000,sedan,23,4.4,Petrol,yes,2014,M5,rear
Hyundai,6000,van,130,1.6,Petrol,yes,2007,Matrix,front
Hyundai,8600,sedan,189,3.3,Petrol,yes,2006,Sonata,front
BMW,9500,crossover,110,3,Diesel,no,2008,X6,
Hyundai,6700,sedan,95,1.6,Petrol,yes,2008,Accent,front
Hyundai,10500,hatch,50,1.4,Petrol,yes,2011,i30,front
BMW,13000,sedan,304,4.4,Other,yes,2002,745,
BMW,13999,sedan,265,3,Diesel,yes,2005,730,rear
BMW,8990,other,300,2.2,Petrol,yes,2002,320,rear
BMW,2500,sedan,44,2.5,Diesel,no,1997,525,rear
BMW,3300,sedan,360,2.5,Petrol,yes,1992,525,rear
BMW,5700,sedan,252,2.5,Diesel,yes,1997,525,rear
Audi,55000,crossover,100,6,Diesel,yes,2009,Q7,full
Hyundai,8700,other,62,1.25,Petrol,yes,2013,i20,
BMW,0,sedan,259,3,Diesel,yes,2001,330,rear
BMW,4700,sedan,333,3,Petrol,yes,1994,730,rear
Hyundai,12800,hatch,19,1.4,Petrol,yes,2013,i30,front
Hyundai,5100,hatch,108,1.4,Petrol,yes,2007,Getz,front
Audi,41000,crossover,88,4.2,Diesel,yes,2010,Q7,full
Hyundai,9300,sedan,98,1.4,Petrol,yes,2011,Accent,front
Hyundai,6300,sedan,164,1.6,Gas,yes,2008,Accent,front
Audi,4300,sedan,340,2.4,Gas,yes,1998,A6,full
BMW,36900,sedan,17,2,Petrol,yes,2013,520,rear
Hyundai,6300,sedan,76,NA,Petrol,yes,2010,Accent,front
Audi,75000,crossover,0,3,Diesel,yes,2015,Q7,full
Audi,92222,crossover,0,3,Diesel,yes,2016,Q7,full
Audi,4000,vagon,300,2.5,Diesel,no,2001,A6,front
Audi,4000,sedan,263,1.9,Diesel,yes,1996,A4,front
BMW,7000,sedan,227,3,Diesel,no,2004,730,rear
Hyundai,6500,sedan,92,1.4,Petrol,yes,2008,Accent,front
Audi,37000,other,170,3,Diesel,yes,2010,Q7,full
Hyundai,9900,crossover,168,2,Gas,yes,2007,Tucson,full
BMW,4599,sedan,267,2,Gas,yes,1991,520,rear
BMW,8200,sedan,368,3,Diesel,yes,2000,730,rear
Audi,23000,crossover,240,4.2,Petrol,yes,2007,Q7,full
BMW,32500,other,86,3,Petrol,yes,2010,5 Series GT,rear
BMW,8900,sedan,250,2.5,Diesel,yes,2001,525,rear
Hyundai,18200,sedan,35,2.4,Petrol,yes,2011,Sonata,
Audi,2600,vagon,110,2.5,Diesel,no,2002,A6,front
BMW,27800,sedan,170,2,Diesel,yes,2011,520,rear
BMW,10999,sedan,150,2,Gas,yes,2003,320,rear
BMW,24700,vagon,142,2,Diesel,yes,2012,520,rear
BMW,31000,sedan,100,2,Petrol,yes,2012,520,rear
Audi,19990,sedan,127,2.8,Petrol,yes,2010,A6,full
BMW,21600,crossover,200,4.8,Other,yes,2007,X5,full
Audi,16400,vagon,152,2,Diesel,yes,2011,A4,front
BMW,14200,sedan,263,3,Petrol,yes,2004,530,rear
BMW,30500,hatch,110,4.4,Petrol,yes,2008,X6,full
Hyundai,11500,sedan,75,1.6,Petrol,yes,2011,Accent,front
Hyundai,28400,crossover,1,2,Petrol,yes,2016,Tucson,full
BMW,18400,crossover,256,3,Diesel,yes,2006,X5,full
Hyundai,17500,sedan,60,1.8,Petrol,yes,2013,Elantra,front
BMW,85555,sedan,10,3,Diesel,yes,2015,640,full
Audi,16500,vagon,171,2,Diesel,yes,2008,A6,front
Hyundai,9200,sedan,100,NA,Gas,yes,2011,Accent,front
Audi,2450,vagon,325,2.5,Diesel,no,2000,A6,front
Audi,4700,sedan,400,2.6,Petrol,yes,1996,A6,front
BMW,1950,sedan,162,1.6,Petrol,no,1995,316,rear
Audi,21700,sedan,167,3,Petrol,yes,2009,A6,full
Hyundai,6300,sedan,163,1.5,Diesel,yes,2008,Accent,front
Audi,2650,vagon,333,2.5,Diesel,no,2000,A6,front
Hyundai,8000,sedan,193,2,Gas,yes,2007,Sonata,front
Hyundai,6999,sedan,91,1.4,Petrol,yes,2008,Accent,
Audi,2200,vagon,280,2.5,Diesel,no,2002,A6 Allroad,full
BMW,32000,crossover,52,3,Petrol,yes,2012,X5,full
BMW,12799,sedan,181,2.2,Gas,yes,2004,520,rear
BMW,44999,crossover,87,3,Diesel,yes,2011,X6,full
Hyundai,6400,sedan,85,1.4,Petrol,yes,2009,Accent,front
Hyundai,12700,sedan,34,1.6,Petrol,yes,2013,Accent,front
BMW,15500,sedan,89,2,Diesel,no,2012,520,rear
BMW,3500,vagon,280,3,Diesel,no,2001,330,full
Audi,24500,sedan,122,4,Diesel,yes,2008,A8,full
BMW,38000,sedan,74,2,Diesel,yes,2014,520,rear
BMW,34900,crossover,35,3,Petrol,yes,2011,X3,full
BMW,6500,sedan,1,3.5,Petrol,yes,1999,535,rear
BMW,25800,crossover,205,3,Diesel,yes,2008,X5,full
Audi,15000,sedan,38,NA,Diesel,no,2015,A5,full
BMW,57000,crossover,47,3,Diesel,yes,2014,X6,full
Hyundai,9700,hatch,90,1.6,Diesel,yes,2010,i30,front
BMW,39999,sedan,45,3,Petrol,yes,2011,535,full
Hyundai,11999,crossover,56,NA,Petrol,yes,2009,Tucson,full
BMW,77500,crossover,1,3,Petrol,yes,2016,X6,full
Audi,32300,hatch,54,2.8,Petrol,yes,2011,A6,front
Hyundai,29400,sedan,0,2,Petrol,yes,2016,Sonata,front
BMW,25500,crossover,130,3,Gas,yes,2007,X5,full
Hyundai,18300,hatch,0,1.6,Petrol,yes,2016,i30,front
Hyundai,8999,hatch,56,1.6,Petrol,yes,2010,i30,front
BMW,34500,crossover,85,3,Petrol,yes,2010,X5,full
Audi,18500,sedan,245,3,Diesel,yes,2006,A8,full
Hyundai,5900,hatch,86,1.4,Petrol,yes,2007,Getz,
BMW,31111,sedan,117,4.4,Petrol,yes,2010,750,full
Audi,22800,sedan,122,2,Petrol,yes,2011,A6,front
BMW,13000,sedan,165,2.2,Gas,yes,2003,520,rear
Hyundai,13000,other,72,2,Petrol,yes,2008,Coupe,front
BMW,7500,sedan,425,NA,Gas,yes,1996,535,rear
BMW,37900,crossover,97,3,Diesel,yes,2010,X6,full
BMW,26000,crossover,270,4.8,Petrol,yes,2008,X5,full
Hyundai,5350,hatch,115,1.4,Petrol,yes,2007,Getz,front
BMW,35500,sedan,67,3,Petrol,yes,2011,535,rear
Hyundai,10900,sedan,44,1.4,Petrol,yes,2013,i30,front
Hyundai,5900,sedan,99,1.4,Petrol,yes,2009,Accent,front
BMW,0,crossover,200,3,Diesel,yes,2009,X5,full
Hyundai,5950,hatch,200,1.4,Petrol,yes,2005,Getz,front
BMW,37000,crossover,186,5,Petrol,yes,2008,X6,full
BMW,3000,sedan,190,2,Petrol,no,2000,520,rear
Hyundai,6500,hatch,137,1.4,Gas,yes,2007,Getz,front
BMW,1750,vagon,200,2,Petrol,no,2000,520,rear
Audi,3000,van,11,1.9,Diesel,no,1999,A6,
BMW,75555,sedan,30,4.4,Petrol,yes,2014,M5,full
BMW,12000,crossover,218,3,Diesel,no,2006,X5,full
Audi,2100,vagon,275,2.5,Diesel,no,1998,A4,full
Audi,2799,vagon,390,1.9,Diesel,no,1998,A6,front
Audi,12200,sedan,130,2.4,Petrol,yes,2006,A6,front
Audi,64400,other,41,NA,Other,yes,2014,A8,
Hyundai,4200,sedan,135,1.6,Gas,yes,2010,Elantra,front
Audi,10000,sedan,206,2.5,Diesel,yes,2003,A6,front
Audi,8000,vagon,200,2.7,Diesel,yes,2006,A6,front
Audi,4000,sedan,380,2.8,Petrol,yes,1997,A6,full
Hyundai,12200,crossover,118,2,Gas,yes,2011,Tucson,front
BMW,6500,sedan,311,2,Gas,yes,1998,520,rear
BMW,0,crossover,1,3,Diesel,yes,2016,X6,full
Audi,12500,sedan,165,2.4,Petrol,yes,2006,A6,front
BMW,36300,crossover,83,3.5,Petrol,yes,2010,X6,full
Hyundai,7800,hatch,58,1.4,Petrol,yes,2011,i30,front
Hyundai,15500,crossover,135,3.8,Gas,yes,2009,ix55 (Veracruz),full
Audi,6557.85,sedan,327,4.2,Gas,yes,2000,A8,full
BMW,25800,sedan,203,2,Diesel,yes,2010,520,rear
BMW,5900,vagon,220,2.8,Petrol,yes,1995,520,rear
BMW,7200,sedan,448,3,Petrol,yes,1996,730,rear
BMW,4100,hatch,160,1.6,Petrol,yes,2004,1 Series,
BMW,29900,sedan,175,2,Diesel,yes,2011,520,rear
BMW,12900,sedan,200,2.5,Petrol,yes,2006,523,rear
Hyundai,8599,hatch,95,1.6,Diesel,yes,2009,i30,front
BMW,8200,sedan,287,2.5,Gas,yes,1999,525,rear
Audi,4649,vagon,350,NA,Diesel,yes,2000,A6,full
Hyundai,8100,hatch,72,1.4,Gas,yes,2008,i30,front
BMW,39500,vagon,93,2,Diesel,yes,2012,525,full
Audi,0,vagon,156,3,Diesel,yes,2009,A6,full
BMW,16500,sedan,150,2.5,Petrol,yes,2005,325,
Audi,16000,sedan,180,3,Diesel,yes,2006,A6,full
BMW,2750,vagon,254,2.8,Gas,no,1997,528,rear
Hyundai,18999,crossover,48,2,Gas,yes,2011,IX35,full
BMW,6000,sedan,300,2.8,Petrol,yes,1996,528,rear
Audi,4000,vagon,234,2.5,Diesel,no,2001,A6,front
Hyundai,6600,sedan,82,1.4,Petrol,yes,2006,Accent,front
Hyundai,0,sedan,27,5,Petrol,yes,2013,Genesis,rear
Audi,89999,crossover,0,3,Diesel,yes,2015,Q7,full
BMW,49000,vagon,56,5,Petrol,yes,2007,M5,rear
Hyundai,7000,hatch,84,1.6,Petrol,yes,2008,Getz,front
Audi,6500,sedan,365,4.2,Gas,yes,1995,A8,full
BMW,6800,sedan,4,2.8,Gas,yes,1995,528,rear
BMW,6300,sedan,330,2.5,Petrol,yes,1999,525,rear
Hyundai,5400,hatch,158,1.4,Petrol,yes,2005,Getz,front
BMW,4700,sedan,390,2.5,Petrol,yes,1991,525,rear
BMW,37500,other,45,2,Petrol,yes,2013,520,rear
Hyundai,7600,sedan,28,1.4,Petrol,yes,2008,Accent,front
BMW,6500,vagon,377,2,Gas,yes,1998,520,rear
Hyundai,17600,crossover,83,2,Petrol,yes,2011,IX35,full
BMW,3900,sedan,340,2.5,Diesel,no,2000,525,rear
BMW,35500,sedan,235,3,Diesel,yes,2010,730,rear
Hyundai,17500,crossover,138,2.2,Diesel,yes,2010,Santa FE,front
BMW,7900,sedan,260,3.5,Petrol,yes,1997,535,rear
Hyundai,36000,crossover,70,2.2,Diesel,yes,2013,Santa FE,full
Audi,25000,crossover,112,3.2,Petrol,yes,2010,Q5,full
Audi,27500,crossover,147,3,Diesel,yes,2008,Q7,full
BMW,9999,sedan,200,1.8,Petrol,yes,2004,318,rear
Hyundai,21900,crossover,48,2.2,Diesel,yes,2012,Santa FE,full
BMW,4600,sedan,280,3,Other,no,1999,730,rear
Hyundai,13200,sedan,50,1.6,Other,yes,2011,Elantra,front
Audi,11000,other,120,1.8,Petrol,yes,2000,TT,front
BMW,4500,sedan,307,2.5,Petrol,yes,1994,525,rear
BMW,28700,sedan,160,3,Petrol,yes,2011,528,rear
Audi,28950,crossover,60,2,Petrol,yes,2012,Q5,full
Hyundai,5700,hatch,102,1.4,Gas,yes,2005,Getz,front
BMW,3700,sedan,231,2.5,Petrol,yes,1990,525,rear
Hyundai,7700,sedan,107,1.6,Petrol,yes,2008,Elantra,front
BMW,2990,other,203,2,Petrol,no,2001,318,rear
BMW,1550,sedan,300,NA,Gas,no,1994,316,rear
Hyundai,17000,crossover,54,2,Petrol,yes,2010,IX35,full
Audi,2600,vagon,253,1.8,Gas,no,1997,A4,full
Audi,7000,vagon,320,1.9,Diesel,yes,1996,A4,front
Audi,6000,sedan,226,1.8,Petrol,yes,1995,A4,front
Hyundai,18750,crossover,93,2.4,Gas,yes,2012,Santa FE,full
Audi,2650,sedan,300,2,Petrol,yes,1987,80,front
Audi,21900,crossover,183,4.2,Petrol,yes,2007,Q7,full
Audi,25300,hatch,180,2,Diesel,yes,2011,A5,front
Audi,30900,hatch,195,3,Diesel,yes,2010,A5,full
Hyundai,8499,van,148,2.5,Diesel,yes,2008,H1 пасс.,rear
Hyundai,20200,sedan,0,1.6,Other,yes,2016,Elantra,front
BMW,77500,crossover,1,3,Petrol,yes,2016,X6,
BMW,56500,crossover,1,2,Diesel,yes,2016,X5,
Hyundai,27000,crossover,0,2,Petrol,yes,2016,Tucson,full
BMW,8900,other,253,1.8,Petrol,yes,1995,318,rear
Hyundai,26000,crossover,0,2,Petrol,yes,2016,Tucson,front
Hyundai,18100,sedan,0,1.6,Petrol,yes,2015,Elantra,front
BMW,28700,other,160,3,Petrol,yes,2011,528,rear
Hyundai,10700,crossover,113,2,Gas,yes,2008,Tucson,full
BMW,21000,other,130,2.5,Petrol,yes,2006,325,full
BMW,34500,other,160,3,Diesel,yes,2010,X5,full
Hyundai,8300,sedan,150,2,Gas,yes,2008,Sonata,front
Audi,3990,sedan,413,2.6,Gas,yes,1993,100,front
Hyundai,15500,sedan,85,10,Petrol,yes,2011,Sonata,front
BMW,12300,sedan,140,2,Petrol,yes,2005,318,rear
BMW,57777,other,40,4,Diesel,yes,2012,X6,
Audi,16999,hatch,69,1.4,Petrol,yes,2012,A1,front
Audi,4000,sedan,400,2,Petrol,yes,1992,100,front
Audi,2900,sedan,1,2.3,Gas,yes,1989,100,front
Audi,7000,other,126,2.6,Petrol,yes,1998,80,front
Hyundai,11111,crossover,99,2.7,Petrol,yes,2009,Tucson,full
BMW,38000,crossover,223,3,Diesel,yes,2011,535,full
Hyundai,7700,other,265,99.99,Diesel,yes,2003,H1 пасс.,rear
BMW,7400,sedan,290,3,Petrol,yes,2000,330,rear
BMW,8800,sedan,287,3,Petrol,yes,2001,530,rear
Hyundai,16500,sedan,87,2.4,Petrol,yes,2011,Sonata,front
BMW,4500,sedan,300,3,Diesel,yes,2000,330,rear
Hyundai,6700,sedan,87,1.5,Diesel,yes,2008,Accent,front
Audi,8500,sedan,253,2.5,Diesel,yes,2001,A6,full
BMW,0,crossover,5,4.4,Petrol,yes,2015,X5 M,full
Hyundai,8400,sedan,178,2,Gas,yes,2007,Sonata,front
BMW,4999,sedan,327,3,Diesel,no,2001,730,rear
BMW,8999,sedan,250,1.9,Petrol,yes,2001,316,rear
BMW,47500,sedan,0,2,Diesel,yes,2016,320,full
BMW,48535.5,crossover,0,2,Diesel,yes,2016,X3,full
BMW,43163.25,crossover,0,2,Diesel,yes,2016,X1,full
BMW,43719,crossover,0,2,Petrol,yes,2016,X3,full
BMW,64500,crossover,1,2,Diesel,yes,2016,X5,full
Audi,4150,vagon,249,2.5,Diesel,no,2004,A6,front
BMW,8000,sedan,194,2,Petrol,yes,1985,520,rear
Audi,3650,sedan,270,1.9,Diesel,yes,2002,A6,front
Audi,6900,sedan,360,2.5,Diesel,yes,1997,A6,front
Audi,15500,sedan,210,2,Diesel,yes,2008,A4,rear
Hyundai,8650,crossover,147,2,Gas,yes,2007,Tucson,
Audi,15499,sedan,177,2,Diesel,yes,2007,A6,front
Hyundai,14500,sedan,134,2,Gas,yes,2012,Sonata,front
Audi,5700,vagon,250,2,Diesel,no,2006,A4,front
Audi,10200,sedan,120,2,Petrol,yes,2006,A4,front
Audi,30900,crossover,27,2,Petrol,yes,2011,Q5,full
Hyundai,6900,hatch,63,1.4,Petrol,yes,2008,Getz,front
BMW,8900,sedan,294,2.2,Gas,yes,2000,520,rear
Audi,12500,sedan,146,1.8,Petrol,yes,2007,A4,rear
Audi,13000,sedan,157,3,Petrol,yes,2006,A6,full
Hyundai,5850,hatch,98,1.1,Petrol,yes,2008,i10,front
Hyundai,8800,hatch,67,1.4,Petrol,yes,2011,i30,front
BMW,7300,sedan,350,NA,Petrol,yes,1997,520,rear
Audi,0,hatch,243,2,Gas,yes,1987,100,front
Audi,24300,sedan,43,1.8,Petrol,yes,2012,A4,front
BMW,2250,sedan,300,2.5,Petrol,no,1997,523,rear
Audi,9999,vagon,198,2.7,Petrol,yes,2003,A6 Allroad,full
Audi,23500,other,83,2,Petrol,yes,2009,A5,full
BMW,0,other,35,3,Petrol,yes,2008,630,rear
Audi,23400,sedan,112,2,Diesel,yes,2012,A4,front
Audi,3700,vagon,290,1.9,Diesel,no,2002,A4,front
BMW,13900,other,80,3,Petrol,yes,2002,330,rear
BMW,65000,crossover,0,2.5,Diesel,yes,2016,X5,full
BMW,3650,sedan,300,2,Petrol,yes,1990,520,rear
BMW,53999,sedan,80,2.99,Diesel,yes,2012,550,full
BMW,3800,sedan,100,1.8,Petrol,yes,1992,318,rear
Audi,2850,sedan,350,NA,Gas,yes,1988,80,front
Hyundai,7700,hatch,97,1.4,Petrol,yes,2008,i30,front
BMW,27800,crossover,140,3,Diesel,yes,2009,X5,full
Audi,3150,sedan,10,2.8,Petrol,yes,1991,100,front
BMW,34900,crossover,65,2,Petrol,yes,2013,X3,full
Audi,27500,sedan,74,2,Diesel,yes,2011,A5,
Audi,21900,other,114,3.2,Petrol,yes,2009,A5,full
Hyundai,6900,hatch,95,1.4,Petrol,yes,2007,Getz,
Hyundai,17200,crossover,45,2,Petrol,yes,2013,IX35,front
Audi,2450,vagon,240,2.5,Diesel,no,2000,A4,front
Hyundai,16000,crossover,175,3.8,Gas,yes,2007,ix55 (Veracruz),full
Audi,15500,vagon,180,2,Diesel,yes,2007,A6,front
Audi,23400,crossover,105,4.2,Gas,yes,2007,Q7,full
Hyundai,31500,crossover,1,2,Petrol,yes,2016,Tucson,full
Audi,22500,sedan,124,3,Diesel,yes,2008,A8,full
Hyundai,5800,sedan,110,NA,Other,yes,2007,Accent,
Audi,4799,vagon,260,2.5,Diesel,no,2002,A6 Allroad,full
BMW,4500,vagon,360,2,Petrol,yes,1993,520,rear
Audi,8600,sedan,154,1.8,Petrol,yes,2001,A6,front
Audi,28500,sedan,74,1.8,Petrol,yes,2012,A4,front
BMW,28000,other,100,5,Petrol,yes,2005,M5,
Hyundai,7500,hatch,60,1.1,Petrol,yes,2011,i10,front
BMW,32500,sedan,148,3,Petrol,yes,2011,535,rear
Audi,0,sedan,60,6.3,Petrol,yes,2013,A8,full
BMW,3500,sedan,280,NA,Petrol,no,1996,730,rear
BMW,17500,crossover,210,3,Diesel,yes,2005,X5,
BMW,85900,crossover,19,3,Diesel,yes,2015,X6,full
Audi,9500,vagon,160,2.7,Gas,yes,2003,A6 Allroad,full
BMW,5000,other,300,1.8,Petrol,yes,1994,318,rear
BMW,12090,hatch,145,1.6,Petrol,yes,2010,116,rear
Audi,3050,vagon,250,2.5,Other,no,2001,A6,front
Audi,5999,vagon,248,2.5,Diesel,yes,2000,A6,full
BMW,26500,sedan,70,3,Petrol,yes,2008,330,rear
Audi,43000,crossover,1,2,Petrol,yes,2016,Q3,full
BMW,139000,crossover,0,4.4,Petrol,yes,2016,X6 M,full
BMW,23500,crossover,74,2,Petrol,yes,2010,X1,rear
BMW,0,crossover,4,4.4,Petrol,yes,2016,X5 M,full
Audi,4800,sedan,341,2.8,Petrol,yes,1992,100,front
Audi,34500,sedan,71,2.8,Petrol,yes,2012,A6,full
BMW,24500,crossover,195,4.8,Petrol,yes,2007,X5,full
BMW,66500,crossover,0,2,Other,yes,2016,X5,full
Audi,16300,vagon,180,3.2,Petrol,yes,2006,A6 Allroad,full
Audi,34000,crossover,119,2,Diesel,yes,2013,Q5,full
Hyundai,11990,sedan,36,1.4,Petrol,yes,2013,Accent,front
Hyundai,19500,crossover,105,3,Diesel,yes,2008,ix55 (Veracruz),full
Hyundai,39500,crossover,1,2.2,Diesel,yes,2014,Santa FE,full
Audi,19999,crossover,117,4.2,Petrol,yes,2007,Q7,full
Hyundai,12650,hatch,36,1.4,Diesel,yes,2014,i30,front
Audi,29999,sedan,97,3,Petrol,yes,2011,S5,full
BMW,27900,crossover,140,3,Diesel,yes,2009,X5,full
Hyundai,6200,hatch,59,1.4,Petrol,yes,2008,Getz,front
Hyundai,14800,crossover,88,2,Gas,yes,2010,IX35,full
Audi,7200,sedan,300,NA,Gas,yes,1999,A6,
Audi,48000,crossover,90,3,Diesel,yes,2013,Q7,full
Hyundai,7500,sedan,150,3.3,Gas,yes,2006,Sonata,front
Audi,2500,hatch,200,1.6,Petrol,no,1999,A3,front
Hyundai,17500,crossover,100,2,Other,yes,2012,IX35,full
Audi,2600,sedan,160,2.5,Diesel,no,2002,A6,
Hyundai,9400,sedan,90,2,Petrol,yes,2009,Sonata,front
BMW,2700,sedan,220,2.5,Petrol,no,2002,525,rear
Hyundai,15500,crossover,22,2,Petrol,yes,2010,IX35,front
Hyundai,12000,hatch,7,1.4,Petrol,yes,2013,i30,front
Hyundai,7500,hatch,150,1.25,Petrol,yes,2011,i20,front
Hyundai,16900,crossover,78,2,Petrol,yes,2011,IX35,full
Audi,25900,sedan,104,2.8,Petrol,yes,2010,A6,full
Hyundai,4600,hatch,140,1.1,Gas,yes,2006,Getz,front
Audi,51500,crossover,28,3,Diesel,yes,2014,Q7,full
Audi,81999,crossover,0,2.98,Diesel,yes,2016,Q7,full
BMW,8100,sedan,246,3,Diesel,yes,2000,530,rear
Hyundai,9200,other,190,2,Gas,yes,2007,Tucson,front
Audi,3150,vagon,320,2.5,Diesel,no,2002,A6,full
BMW,23900,crossover,60,2,Petrol,yes,2013,X1,rear
Hyundai,7499,crossover,100,NA,Gas,no,2011,IX35,full
Audi,29999,other,90,3,Petrol,yes,2011,A5,full
Hyundai,13499,sedan,31,1.6,Petrol,yes,2013,Elantra,front
Audi,42900,crossover,140,3,Diesel,yes,2013,Q7,full
BMW,34900,crossover,110,4.4,Petrol,yes,2010,X6,full
BMW,44000,crossover,80,3,Diesel,yes,2012,X5,full
BMW,60500,crossover,1,2,Diesel,yes,2016,X5,full
Audi,32000,sedan,103,2,Diesel,yes,2013,A6,front
Hyundai,7000,sedan,115,1.5,Diesel,yes,2009,Accent,front
BMW,8900,sedan,250,2.5,Petrol,yes,2000,525,rear
Audi,16700,vagon,131,2,Diesel,yes,2009,A4,front
Audi,6100,sedan,305,1.6,Other,yes,1996,A4,
Hyundai,17500,vagon,3,1.6,Diesel,yes,2014,i30,front
Hyundai,6500,sedan,65,1.4,Petrol,yes,2008,Accent,front
Audi,11115,hatch,150,1.6,Petrol,yes,2008,A3,front
Audi,4800,other,207,2,Petrol,yes,2002,A4,front
Audi,3200,vagon,244,2,Other,no,2006,A4,front
BMW,45000,sedan,29,2,Diesel,yes,2016,520,rear
Audi,52000,other,124,3,Diesel,yes,2012,A8,full
BMW,25000,crossover,130,3,Diesel,yes,2012,X5,full
Audi,5300,other,370,1.8,Petrol,yes,1997,A6,front
Audi,0,sedan,2,3,Diesel,yes,2015,A8,full
BMW,45500,other,26,2,Diesel,yes,2015,520,rear
Audi,1852.5,sedan,150,1.8,Petrol,yes,1985,80,full
Hyundai,11300,sedan,40,1.6,Other,yes,2012,Accent,front
Audi,3500,sedan,265,2,Diesel,yes,1986,100,front
Hyundai,7150,sedan,60,1.4,Petrol,yes,2010,Accent,front
Audi,1900,sedan,450,2.5,Diesel,no,1996,A6,front
Audi,4299,sedan,307,2.8,Gas,yes,1991,100,full
BMW,9500,sedan,400,3.5,Gas,yes,1999,735,rear
BMW,14990,sedan,135,2.5,Petrol,yes,2005,525,full
BMW,0,crossover,15,4.39,Petrol,yes,2015,X5 M,full
BMW,14000,crossover,164,3,Diesel,no,2006,X5,full
Audi,1400,sedan,250,1.8,Petrol,no,1993,80,front
BMW,67431,crossover,0,2,Diesel,yes,2016,X5,full
BMW,40755,sedan,0,2,Petrol,yes,2016,520,rear
BMW,37976.25,sedan,0,2,Petrol,yes,2016,520,rear
BMW,65393.25,crossover,0,2,Diesel,yes,2016,X5,full
Audi,52055.25,crossover,0,2,Diesel,yes,2016,Q5,full
Hyundai,7700,sedan,122,1.6,Gas,yes,2008,Accent,front
BMW,70000,sedan,16,3,Diesel,yes,2014,730,full
BMW,1900,sedan,200,1.8,Gas,no,1994,318,rear
Hyundai,8200,sedan,98,1.6,Gas,yes,2008,Elantra,front
Audi,3000,sedan,265,1.8,Petrol,yes,1988,80,front
BMW,9500,sedan,217,2.2,Petrol,yes,2002,320,rear
BMW,3900,sedan,330,3,Diesel,no,2000,530,rear
Hyundai,2300,sedan,230,1.5,Petrol,yes,1994,Pony,front
BMW,5300,sedan,147,2.2,Gas,no,2001,320,rear
BMW,0,crossover,16,NA,Other,yes,2016,X5 M,
Hyundai,6000,van,227,2.5,Diesel,yes,2006,H1 пасс.,rear
Hyundai,4900,crossover,230,2,Diesel,no,2004,Santa FE,full
Hyundai,11500,sedan,14,1.4,Petrol,yes,2013,Accent,front
BMW,0,sedan,1,3,Petrol,yes,2010,535,rear
BMW,10999,other,162,2.2,Petrol,yes,2002,320,rear
BMW,24700,other,85,4.4,Petrol,yes,2004,645,rear
BMW,75555,sedan,30,4.4,Petrol,yes,2014,550,full
BMW,37500,crossover,115,3,Diesel,yes,2008,X5 M,full
Hyundai,8990,crossover,155,2,Gas,yes,2007,Tucson,full
Audi,12800,sedan,217,1.8,Petrol,yes,2007,A4,front
BMW,6500,sedan,280,2,Petrol,yes,1997,320,rear
